순번,Q,A
4845,레드볼,"1. 낙동강전선의 보급지원을 위한 노력의 일환으로 철도를 이용하여 긴요 보급품을 수송하기 위하여 조직되었던 수송망을 가리킨다. 일본 동경만의 요코하마로부터 사세보에 걸친 철도수송망으로, 이 구간을 통해 물자를 수송하는 데는 약 30시간 내외가 소요되었다. 레드볼 특급을 통하여 사세보로 수송된 물자는 수송선을 통해 다음날 아침까지 부산으로 이송되었으며, 요코하마에서 출발한 보급품이 부산에 도착하는 시간을 총합하면 2일 반 정도였다. 이로 인하여 보급품을 일본에서 한국으로 공수해야 할 필요성이 크게 줄어들었으며, 철도는 공수보다 비용이 저렴하면서 보다 확실하게 많은 양을 나를 수 있는 수송방법(8월 25일의 경우 하루 949톤 수송)이었다는 점에서 레드볼 특급은 매우 성공적이었다. 그러나 미 극동 공군사령관들이 하루 200톤을 공수할 수 있는 공군의 능력을 활용해야 한다고 건의하자 협상을 통해 이후 레드볼 특급으로는 공수가 곤란한 보급품만을 수송하고 기타 보급품은 공수를 통해 수송하기로 결정하였다.  2. 제 2차 세계대전 기간 중, 파리 해방 이후 북부 프랑스로 진격하고 있던 미군에 대한 보급을 위해 아이젠하워 총사령관의 명령에 의해 조직되었던 특별수송부대를 가리킨다. 도로 정체시의 최우선 통행권을 가지며 헌병의 검문에도 응하지 않고 통과할 수 있었다. 야간에 수송대의 트럭이 앞차에 매달린 붉은 불빛을 따라 꼬리에 꼬리를 물고 질주했던 데서 레드볼 특급이라는 이름이 유래되었다."
4918,레이저 유도폭탄,"레이저로 유도하여 명중률을 높인 폭탄을 가리킨다. 폭탄에는 레이저 유도 장치를 장비하고 있으며, 목표물에 레이저 광선을 조사하면서 항공기가 폭탄을 투하하면 폭탄에 장비된 레이저 유도 장치로 조사되는 레이저를 따라가 목표물에 명중하도록 되어 있다. 베트남전쟁 때 최초로 등장하였으며, 현재 미국의 GBU 시리즈를 비롯한 많은 레이저 유도폭탄들이 정밀폭격에 쓰이고 있다. 기본적으로는 높은 명중률을 지니나 목표물에 폭탄이 명중할 때까지 항공기나 지상 관측병이 계속 레이더를 조사해야 한다는 단점이 있으며, 비나 구름, 짙은 안개와 같은 악천후나 먼지, 난기류 등이 발생할 경우 조사되는 레이저빔이 교란되거나 폭탄이 유도 레이저를 놓칠 수 있으며 이 경우 목표물에서 빗나가게 된다."
4926,레이저무기,"레이저를 이용하여 목표물을 파괴하는 무기를 가리킨다. 목표에 일정 시간(최대 수 초) 이상 고에너지 레이저를 조사하여 가열시킴으로써 목표물을 파괴한다. 아직까지 대형의 장비가 필요하고 가격이 비싸다는 문제가 있지만, 사용될 경우 광속으로 발사되기 때문에 실질적으로 회피가 불가능하며, 일반적인 탄도미사일 및 현재로서는 요격이 불가능한 일반 야포 포탄까지 요격할 수 있기 때문에 실용화될 경우 전장에서 매우 유용하게 쓰일 수 있다. 현재 여러 종류의 레이저무기가 시험단계에 있으며, 현재는 충분한 출력을 유지한 채로의 소형, 경량화 및 정확성 향상을 위한 연구가 주로 진행중이다."
5096,만국표준시간,"영국의 그리니치 천문대를 지나는 본초 자오선을 기준으로 한 시각. 그리니치 자오선에서의 0시가 만국표준시간상의 0시이다. 일상생활에서는 거의 쓰이지 않으며, 천체관측의 기록과 같은 학술상이나 항해상, 항공기 노탐상 등 국제적으로 세계의 시각을 통일해서 표기해야 할 경우에 이용된다. 세계 각지의 표준시는 만국표준시간을 기준으로 이것과 정수 혹은 반정수 시간이 다른 시각을 사용하고 있으며, 각국의 경도에 따라 만국표준시간과의 차이가 다르다."
5155,맹조의 발톱계획,"피의 능선전투(두밀령 전투)가 교착상태에 빠져 있던 8월 말경, 중동부 전선에서 대규모의 공세작전을 실시하여 상황을 한번에 반전시킬 목적으로 제 8군 사령관 밴플리트 장군에 의해 수립, 건의된 공세작전계획. 독수리가 병아리를 채가는 것처럼 북한군에게 치명적인 일격을 가한다는 의미로 이와 같은 이름이 붙었으며, 원산부근에 상륙 및 공수작전을 실시하여 인민군 배후를 공격함과 동시에 지상군이 대규모 공세로 전환하여 전선을 북쪽의 김화-금강산-장전 선까지 밀어올린다는 계획으로, 인명과 물자의 손실이 심한 고지쟁탈전은 가능한 한 회피하면서 인민군에게 치명적인 타격을 가하여 전선을 북상시키고 전선을 정리하는 것을 목적으로 하고 있었다. 그러나 이 대규모 작전이 건의되었을 때, 리지웨이 유엔군 사령관은 인민군에게 치명적인 타격을 주게 되면 휴전회담에 장애가 될 것으로 판단하여 상륙작전과 공수작전을 보류시키고, 휴전회담에 영향을 미치지 않을 정도의 지상작전만을 승인했다. 이로 인해 제 8군은 종전과 같은 고지쟁탈전을 계속할 수 밖에 없었고, 밴플리트 장군은 또 하나의 공세계획인 랑구라 계획을 건의하게 되었다."
5227,명태사건,"1949년 1월, 제 1사단장에 취임한 김석원 대령이 남북 교역장에서 이루어지던 교역을 중단시켰던 일로 인해 육군본부와 알력을 빚었던 사건을 가리킨다. 당시 남북 교역장에서는 물물교환식의 교역이 이루어지고 있었는데, 남한측에서는 군수물자들이 매물로 나오는 반면, 북한측의 매물은 명태나 염장 고등어 등이었다는 데 분노한 김석원 사단장이 남북 교역장에서의 교역을 중단시켰다. 이로 인해 육군본부와 김석원 대령 사이에 알력이 발생하여 대통령에게 출두하게 되었는데, 김석원 대령이 면전에서 항의한 일로 인하여 이승만 전 대통령이 격노하여 그를 제 1사단장직에서 해임하였으며, 채병덕 당시 육군 참모총장도 사임하였다."
5270,모사전송,"도표, 그림, 지도, 투명도 및 서류 등을 전기신호로 바꾸어 송수신하는 통신 방식을 가리킨다, 송신하는 측의 기기에서 원본의 정지 화상을 화소 단위로 분해한 뒤, 변조 및 부호화를 통해 이를 전기 신호로 바꾸어 통신회선으로 전송하면 수신받은 측의 기기에서 복조 및 복호화를 통해 수신받은 전기 신호를 다시 원래의 화상으로 복원하는 방법으로 전송이 이루어진다. 모사전송은 흑백 2색만이 사용되며, 중간색을 송수신할 수 있는 사진 전송도 존재한다. 영단어인 팩시밀리(Facsimile:FAX)는 좁은 의미에서 모사전송만을 가리키나, 넓은 의미로는 모사전송과 사진전송 모두를 포괄하여 이르는 단어이다. 모사전송은 흑백만 표현 가능하기 때문에 일반적으로 문서나 도면 등의 전송에 사용되며, 사진이나 그림의 전송에는 사진 전송이 사용된다."
5276,모스크바 삼상회의,"1945년 12월 모스크바에서 개최되었던 미, 영, 소 3국 외무장관회의를 가리킨다. 전쟁종결 후의 국제문제들에 대한 것이 논의된 끝에 모스크바협정이 체결되었다. 그 주요한 내용으로는 구 추축국과의 강화조약 준비, 극동위원회 및 대일 이사회의 설치, 중국에 대한 간섭배제 및 국민당 정부 아래서의 통일 촉진 등을 들 수 있다. 협정내용 중 한국에 관한 결정의 최종문안 내용은 한국을 독립국으로 부흥시키고 민주주의 원칙 하에서 발전하게 하기 위한 목적으로 민주주의 임시 정부를 창설할 것, 미소 공동위원회를 구성할 것, 조선임시정부와의 협의 후 최고 5년간의 신탁통치 협정을 작성하기 위하여 미, 소, 영, 중 각국 정부의 공동심의를 받을 것, 긴급한 문제의 해결을 위해 2주 이내에 조선에 주둔하는 미소 양국 사령부 대표에 의한 회의를 수집할 것의 네 가지였다. 이 중 신탁통치 관련 사항이 동아일보의 오보로 인하여 왜곡되어 퍼지게 되면서 한국인들의 강력한 반발을 사게 되었으며, 이는 이후 좌우 분열의 단초 중 하나가 되기도 하였다."
5399,무력도발,"무력을 사용한 타국에의 도발행위를 가리킨다. 병력이나 장비와 같은 무력을 동원하여 타국의 영역에 대하여 월경 혹은 소규모 습격을 가하는 등의 위해행위를 통해 이루어지며, 교전사태가 일어나게 될 수 있으므로 유혈사태 및 재산상의 피해를 수반할 가능성이 높다."
5506,무인항공기,"조종사가 직접 탑승하지 않는 상태에서 비행 및 지정된 임무의 수행이 가능한 항공기를 가리킨다. 미리 입력한 경로를 자체적으로 비행하거나 지상에서의 무선 조종에 따라 움직이는데, 지상에서 조종할 경우 행동범위를 넓히기 위해 조종용 무선전파를 중계하는 지상중계기나 공중중계기가 사용되기도 한다. 유인항공기에 비해 운용에 드는 비용이 비교적 저렴하다는 장점이 있으나, 악천후일 경우 자동 조종에 문제가 생기거나 조종용 전파를 받지 못하는 경우가 생길 수 있다. 초기의 무인항공기는 주로 감시, 정찰이나 표적기로 사용되었으나, 현재는 운용범위가 훨씬 넓어져서 정밀공격무기 유도, 전자전 수행, 전투피해평가, 무인 폭격 등을 비롯한 다양한 임무를 수행할 수 있는 무인항공기가 개발되어 있으며, 민간으로도 활용범위가 넓혀져 가고 있다."
5518,무장정찰,"1. 정찰의 임무가 부여된 일반지역 내에 소재하고 있거나 혹은 병참선을 따라 위치해 있는 물자, 인원 및 시설과 같은 표적들의 위치를 파악하고 공격하는 것을 주요목적으로 하는 임무를 가리킨다. 이미 위치가 알려져 있는 지정된 특별한 표적을 공격하는 것은 무장정찰의 목적으로 하지 않는다.  2. 항공기로 적의 예비품 및 보급품의 운송을 지연시키기 위해 철로 및 도로를 차단하고, 부대 집결지에 대한 공격을 실시하며 도보, 차량, 철도를 통한 물품수송을 방해하는 전투폭격작전을 가리킨다."
5540,무해통항권,"통항 자체가 연안국의 평화, 질서, 안전을 해치지 않는 한 타국의 영해 안을 자유로이 통행할 수 있는 권리를 가리킨다. 연안국은 국제교통의 이익 및 국제통상의 촉진 등을 위해 외국선박에 대해 무해통항을 인정해야 할 의무가 있으며, 무해통항을 방해해서는 안 되나 유해핱 통항을 방지하기 위한 조치를 취할 수는 있다. 무해의 요건을 판정하는 기준으로는 선박의 종류, 장비, 목적지에 따라 유해와 무해를 판단하는 선종별분류와 선박의 구체적 행동을 보고 판단하는 행위행태별 규제가 있으며, 영해조약의 규정은 이를 모두 포괄하고 있다. 무해통항은 그 통항의 양태가 영해내의 계속적이고 신속한 통항이어야 한다. 내수에 들어오지 않으면서 영해 내에서 배회하는 것은 무해통항의 통항요건에 해당하지 않는다. 그러한 이유로 어선의 경우는 어로가 금지된다. 군함의 경우, 해양법 조약에 군함의 무해통항권에 관한 명시적 규정이 없기 때문에 대부분 사전허가제를 전제로 하거나 상호주의에 의해 사전에 합의가 있는 경우에 인정하게 된다. 군함 중 잠수함의 경우 무해통항시에는 수면위로 부상하여 국기를 게양하고 항행하여야 한다."
5542,무형전력,"그 형태는 없으나 분명히 존재하고 있는 전력을 가리킨다. 정신전력, 기술전력, 운용전력으로 나뉘는데, 정신전력이란 국민 차원의 광의적 의미로는 국민정신을 바탕으로 발휘되는 국민투쟁의지의 총화이며, 협의의 군사적 의미로는 모든 장병들이 투철한 군인정신의 바탕 위에 지휘관을 중심으로 굳게 뭉쳐 부여된 임무를 성공적으로 완수할 수 있는 조직화된 의지로, 전투의지를 지속적으로 유지하면서 승리를 쟁취하고자 하는 장병들의 단합된 무형적인 힘을 가리키며 군인정신, 사기, 단결, 군기를 그 구성요건으로 한다. 기술전력이란 무기, 장비, 물자 등에 대한 사용법 숙달 및 기량향상을 통하여 전력의 효율을 최고 수준으로 발휘케 하는 것을 말한다. 운용전력이란 병력, 장비, 물자를 보다 통합적으로 운용하여 승리를 쟁취하고자하는 전략 전술, 지휘통솔, 부대관리 능력을 말한다."
5596,물자동원,"전시 또는 이에 준하는 비상 사태시 군부대 의 증편, 창설, 또는 작전임무 수행에 있어 급격히 증가하는 물적 수요 확보 및 민간 기본수요 충족을 위하여 소요되는 물자, 장비, 시설, 업체 등의 자원을 전시자원동원에 관한 법률에 의하여 동원하는 것을 말한다. 법적 근거는 평시는 비상대비자원관리법에 의거 물자동원 자원관리, 물자동원 계획수립, 물자동원훈련 등을 자원관리주무부처에서 주관하며, 전시에는 충무2종 사태시 전시대기법(전시자원동원에 관한 법률안, 시행령안)을 대통령 긴급명령 또는 국회 의결 후 시행한다. 물자동원에는 사용동원, 수용동원, 통제운영이 있는데, 사용동원이란 소유권을 원소유주에게 둔 채 사용권만을 동원하여 사용한 뒤, 동원해제 후 원소유주에게 복원시켜주는 것을 말하며 일반적으로 장비와 토지, 건물 및 업체를 동원시 적용한다. 수용동원이란 동원과 동시에 그 물자의 소유권이 인수기관에 인수되는 것을 말하며, 주로 소모성 물자 동원시 적용한다. 마지막으로 통제운영이란 동원목적을 달성할 수 있도록 동원물자의 생산, 수리, 가공 유통과정을 통제하는 것을 말하며, 통제부분 외에는 소유주의 자율권이 인정된다. 주로 업체 동원시 적용한다. 물자동원에 대한 보상금액은 농지의 연간사용료가 당해 사용연도 농업소득세 과세표준액의 20%이며, 기타 토지의 연간사용료는 당해 사용연도 토지가액(지방세법 제 111조의 규정에 의한 과세시가표준액)의 10%이다. 건물의 연간사용료는 당해 사용연도 재산세 과세표준액의 10%로 하며, 멸실에 대한 보상은 당해 멸실연도 재산세과세표준액의 전액으로 하고, 전기통신설비의 연간사용료는 전신전화 요금표를 기준으로 정보통신부장관이 정하는 산정방법에 의하여 산정된 금액으로 한다. 그리고, 자동차, 선박, 항공기, 건설기계, 준설선, 하역장비, 수송장비, 건설장비 기타 과세표준이 없는 물자의 연간 사용료 및 멸실에 대한 보상은 당해 사용연도 또는 멸실연도의 시가액으로 한다."
